"n_altas"|"C_FECHA_CAMBIO_ESTADO"
864|"2022-04-06"
648|"2018-06-27"
740|"2021-10-14"
833|"2022-07-11"
688|"2018-08-08"
1180|"2020-08-18"
669|"2018-10-03"
631|"2021-12-07"
635|"2019-12-05"
32|"2021-05-30"
738|"2020-01-29"
773|"2022-05-21"
728|"2022-07-30"
546|"2019-05-17"
838|"2021-06-10"
559|"2018-09-20"
881|"2021-07-13"
1108|"2020-07-08"
1093|"2020-06-12"
1135|"2020-08-15"
935|"2021-01-26"
2|"2018-12-09"
647|"2019-09-19"
1095|"2020-07-30"
70|"2020-09-20"
988|"2020-07-11"
311|"2019-02-01"
666|"2021-12-04"
866|"2021-03-20"
754|"2022-05-20"
778|"2021-07-10"
768|"2021-03-19"
932|"2020-05-16"
794|"2022-03-05"
6|"2021-09-19"
922|"2020-03-10"
1006|"2020-05-27"
10|"2022-01-02"
10|"2021-05-02"
875|"2018-09-01"
2|"2019-06-30"
819|"2021-10-06"
912|"2020-11-10"
817|"2021-01-08"
725|"2022-06-18"
1011|"2020-10-08"
673|"2019-11-19"
615|"2022-01-07"
971|"2021-03-04"
1074|"2020-07-14"
887|"2021-07-28"
672|"2019-08-27"
921|"2021-03-29"
988|"2021-03-25"
841|"2020-12-05"
1|"2019-12-01"
570|"2019-12-18"
639|"2019-10-10"
409|"2019-12-21"
852|"2018-08-06"
1073|"2020-07-01"
936|"2021-01-14"
10|"2021-10-18"
666|"2020-02-22"
14|"2019-12-15"
786|"2022-06-10"
796|"2022-04-11"
973|"2021-02-02"
911|"2022-03-04"
652|"2018-10-30"
1023|"2020-03-19"
1272|"2020-08-03"
416|"2019-06-22"
448|"2018-12-22"
319|"2020-03-29"
597|"2019-12-13"
1149|"2020-08-05"
104|"2021-02-07"
859|"2021-08-09"
1077|"2021-02-12"
816|"2022-05-02"
